編號	名稱	描述#材料名称不要超过4字	功能描述	類型	細分子類	圖示	音效	打開是否彈窗	職業限制	等級限制	品質	夥伴使用前提品質	堆疊數量	背包排序優先順序	天生強化等級	強化消耗比率	普通防禦	普通防禦強化值	絕技防禦	絕技防禦強化值	生命	生命強化值	普通攻擊	普通攻擊強化值	法術攻擊	法術攻擊強化值	絕技攻擊	絕技攻擊強化值	先攻值	強化先攻值係數	元寶價格	合成價格	售出價格	是否可以賣出	是否可銷毀	基礎裝備	材料	生成物品	給予元寶	給予銅幣	給予經驗	給予體力	給予功勳	給予命格	給予掉落	给予鲜花类型（1 2 3）	產出副本	下一等級卷軸	穿戴位置	通過此副本可使用直接製作功能	職業對應禮包	禮包id
id	name	commenttext	functiontext	type1	type2	iconid	sound	message	needclass	needlevel	quality	needpartnerquality	stackednumber	packsort	strengthenlevel	strengthenuseratio	putongdefence	putongdefencestrengthen	juejidefence	juejidefencestrengthen	hp	hpstrengthen	putongattack	putongattackstrengthen	fashuattack	fashuattackstrengthen	juejiattack	juejiattackstrengthen	initiative	strengtheninitiative	goldprice	comeposeprice	saleprice	issale	isdie	baseitem	materials	newitem	givegold	givecoin	giveexp	givetili	giveshengwang	givemingge	dropset	giveflower	outputcopy	nextlevelscroll	position	copyid	zhiye	gamegift
20001001	砍柴刀	補刀斧		第一神器	1	1	5	6	0	0	0	0	0	0	0	0	0	0	0	0	112	500	0	0	0	2	0	0	100015|300006|100023|300018	0	999	1	images/icon/20001001_icon.png	small_icon/20001001_icon.png	0
20001002	青銅指環	樹枝		上面刻著奇怪的花紋	1	2	1|2|3	1|1|1	0	0	0	0	0	0	0	0	0	0	0	0	26	100	0	0	0	1	0	0	100001|100004|100007|100011|100019	0	999	1	images/icon/20001002_icon.png	small_icon/20001002_icon.png	0
20001003	布頭帶	貴族頭環		為啥是綠色的	1	2	1|2|3	2|2|2	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	2	0	0	100015|200002|200009|500005|100023	0	999	1	images/icon/20001003_icon.png	small_icon/20001003_icon.png	0
20001004	小靈玉	小魔棒		能賣好多錢	1	2	11|12	15|15	0	0	0	0	0	0	0	0	0	0	0	0	100	400	0	0	0	2	0	0	100004|600001|600020|1000005|100020	0	999	1	images/icon/20001004_icon.png	small_icon/20001004_icon.png	0
20001005	力量戒指	力量拳套		只能戴在大拇指上	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	2	0	0	100001|300003|600013|1200020|100019	0	999	1	images/icon/20001005_icon.png	small_icon/20001005_icon.png	0
20001006	敏捷戒指	敏捷絲襪			1	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	2	0	0	200009|500008|900011|1200017	0	999	1	images/icon/20001006_icon.png	small_icon/20001006_icon.png	0
20001007	木盾	小圓盾		把手在哪？	1	2	7	2	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	2	0	0	100011|500020|900013|100022	0	999	1	images/icon/20001007_icon.png	small_icon/20001007_icon.png	0
20001008	能量寶石	藝人面罩		吃下去會不會回的更快？	1	2	12	30	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	4	0	0	200002|400014|900008|1200010|200022	0	999	1	images/icon/20001008_icon.png	small_icon/20001008_icon.png	0
20001009	無字官印	智力斗篷		沒有字真的能用嗎	1	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	2	0	0	100018|200018|700020|1200015|100024	0	999	1	images/icon/20001009_icon.png	small_icon/20001009_icon.png	0
20001010	防禦戒指	防禦指環		咬一口，啊，牙齒	1	2	7	2	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	2	0	0	200005|300014|1000002|1000007|200023	0	999	1	images/icon/20001010_icon.png	small_icon/20001010_icon.png	0
20001011	恢復戒指	回復戒指		戴上它，然後好好睡一覺	1	2	11	80	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	4	0	0	100007|500014|800009|1200012|100021	0	999	1	images/icon/20001011_icon.png	small_icon/20001011_icon.png	0
20001012	草鞋	鞋		編織得很粗糙	1	8	1|2|3	5|5|5	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	4	0	0	100018|600001|900020|1100012	0	999	1	images/icon/20001012_icon.png	small_icon/20001012_icon.png	0
